recording_id,frame_idx,boll_id,distance_m,depth_valid_px,mask_pix,H_aa_cm,W_aa_cm,H_rot_cm,W_rot_cm,area_cm2,ok_mask_size,ok_distance,ok_depth_coverage
handheld_1,0,1,0.675,1436,3821,5.955,4.633,5.531,4.778,20.662,1,1,1
handheld_1,0,11,0.675,1294,3683,5.735,4.413,5.662,4.339,19.915,1,1,1
handheld_1,0,13,0.675,1415,3797,5.955,4.56,5.532,4.701,20.532,1,1,1
handheld_1,0,2,0.675,1421,3808,5.955,4.56,5.508,4.71,20.591,1,1,1
handheld_1,0,22,0.675,2828,2840,17.352,21.108,5.458,3.8,15.357,1,1,1
handheld_1,0,25,0.675,1450,3848,5.955,4.633,5.564,4.779,20.808,1,1,1
handheld_1,0,32,0.675,1456,3881,11.029,14.121,5.503,4.736,20.986,1,1,1
handheld_1,0,33,1.274,1291,1292,55.647,15.13,8.199,4.08,24.887,1,1,1
handheld_1,0,4,0.675,1392,3802,5.882,4.56,5.466,4.699,20.559,1,1,1
handheld_1,0,5,0.675,1403,3857,17.499,23.608,5.486,4.67,20.856,1,1,1
handheld_1,0,7,1.274,1203,1203,5.273,5.969,5.772,4.934,23.173,1,1,1
handheld_1,1,1,1.09,3816,3816,9.617,7.245,9.055,7.47,53.807,1,1,1
handheld_1,1,11,1.09,3683,3683,9.261,7.007,9.143,6.887,51.932,1,1,1
handheld_1,1,13,1.09,3780,3780,9.498,7.245,8.954,7.37,53.3,1,1,1
handheld_1,1,2,1.09,3780,3780,9.498,7.245,8.92,7.464,53.3,1,1,1
handheld_1,1,22,1.09,840,1037,27.545,46.436,4.896,3.311,14.622,1,1,1
handheld_1,1,25,1.09,3835,3835,9.617,7.245,9.5,7.125,54.075,1,1,1
handheld_1,1,32,1.09,4055,4055,18.759,21.971,9.135,7.433,57.177,1,1,1
handheld_1,1,33,1.541,1453,1456,91.816,21.491,7.732,4.531,41.034,1,1,1
handheld_1,1,38,-1.0,0,144,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0
handheld_1,1,4,1.09,3762,3762,9.617,7.126,9.5,7.006,53.046,1,1,1
handheld_1,1,5,1.09,3792,3799,27.664,34.441,9.166,7.284,53.568,1,1,1
handheld_1,1,7,1.541,1263,1263,6.882,7.22,7.31,6.18,35.595,1,1,1
handheld_1,2,1,0.723,3685,3685,6.458,4.805,6.038,4.922,22.861,1,1,1
handheld_1,2,11,0.723,3508,3508,6.064,4.648,5.986,4.568,21.763,1,1,1
handheld_1,2,13,0.723,3650,3650,6.379,4.648,6.301,4.568,22.644,1,1,1
handheld_1,2,2,0.723,3638,3638,6.458,4.727,6.005,4.874,22.569,1,1,1
handheld_1,2,22,0.753,2737,2737,19.521,23.465,5.837,4.176,18.418,1,1,1
handheld_1,2,25,0.723,3698,3698,6.458,4.805,6.057,4.904,22.942,1,1,1
handheld_1,2,32,0.723,3692,3692,6.536,4.805,6.138,4.914,22.904,1,1,1
handheld_1,2,33,0.843,1871,1871,58.032,7.807,4.289,2.619,15.78,1,1,1
handheld_1,2,38,0.657,1335,1335,3.292,2.362,3.221,2.29,6.839,1,1,1
handheld_1,2,4,0.723,3654,3654,6.458,4.727,6.079,4.832,22.669,1,1,1
handheld_1,2,5,0.548,4012,4012,10.864,18.629,4.648,3.639,14.299,1,1,1
handheld_1,2,7,0.731,1192,1192,3.265,3.345,3.283,2.974,7.559,1,1,1
handheld_1,3,1,0.55,3618,3618,4.793,3.536,4.433,3.661,12.989,1,1,1
handheld_1,3,11,0.549,3454,3454,4.605,3.469,4.336,3.5,12.355,1,1,1
handheld_1,3,13,0.55,3568,3568,4.793,3.476,4.456,3.619,12.809,1,1,1
handheld_1,3,2,0.55,3524,3524,4.733,3.536,4.354,3.664,12.651,1,1,1
handheld_1,3,22,0.753,1957,1957,18.701,16.983,4.852,4.2,13.169,1,1,1
handheld_1,3,25,0.55,3613,3613,4.793,3.536,4.442,3.657,12.971,1,1,1
handheld_1,3,32,0.55,3712,3712,8.926,10.487,4.451,3.717,13.326,1,1,1
handheld_1,3,33,0.879,2487,2487,22.5,8.236,6.607,2.777,22.805,1,1,1
handheld_1,3,38,0.657,811,811,3.435,1.36,3.364,1.288,4.155,1,1,1
handheld_1,3,4,0.55,3557,3557,4.733,3.536,4.343,3.658,12.77,1,1,1
handheld_1,3,5,0.549,3929,3929,14.472,18.723,4.356,3.59,14.054,1,1,1
handheld_1,3,7,0.735,1204,1204,3.202,3.363,3.289,2.97,7.719,1,1,1
handheld_1,4,1,0.564,3356,3356,4.853,3.503,4.527,3.632,12.669,1,1,1
handheld_1,4,11,0.563,3227,3227,4.661,3.374,4.349,3.428,12.139,1,1,1
handheld_1,4,13,0.564,3326,3326,4.853,3.503,4.527,3.615,12.556,1,1,1
handheld_1,4,2,0.564,3284,3284,4.792,3.441,4.466,3.554,12.398,1,1,1
handheld_1,4,22,0.775,450,450,18.487,30.905,1.098,0.422,3.208,1,1,1
handheld_1,4,25,0.564,3361,3361,4.853,3.503,4.518,3.646,12.688,1,1,1
handheld_1,4,32,0.565,3539,3539,9.17,10.712,4.508,3.652,13.408,1,1,1
handheld_1,4,33,0.744,3371,3371,35.009,7.458,6.522,3.199,22.145,1,1,1
handheld_1,4,38,0.666,1817,1817,2.902,3.701,3.628,2.83,9.565,1,1,1
handheld_1,4,4,0.564,3343,3343,4.792,3.503,4.466,3.611,12.62,1,1,1
handheld_1,4,5,0.56,3818,3818,14.761,19.586,4.453,3.233,14.21,1,1,1
handheld_1,4,7,0.749,1185,1185,3.182,3.346,3.341,2.906,7.89,1,1,1
handheld_1,5,1,0.566,3317,3317,4.747,3.453,4.389,3.588,12.611,1,1,1
handheld_1,5,11,0.566,3264,3264,4.624,3.453,4.289,3.583,12.41,1,1,1
handheld_1,5,13,0.566,3294,3294,4.747,3.453,4.367,3.593,12.524,1,1,1
handheld_1,5,2,0.566,3266,3266,4.686,3.453,4.328,3.568,12.417,1,1,1
handheld_1,5,22,0.789,3043,3043,19.165,29.916,5.486,4.219,22.482,1,1,1
